id,customermail,productid,maxprice
1,ojacqueminet0@deliciousdays.com,30,164
2,bmogenot1@seesaa.net,63,550
3,rlattimer3@yahoo.co.jp.com,58,738
4,ebrimelow4@360.cn,76,547
5,esiaskowski5@ifeng.com,77,288
6,glawly6@friendfeed.com,26,969
7,lzuanelli7@soundcloud.com,86,70
8,wsolway8@usa.gov,6,740
9,lhoffman9@ezinearticles.com,15,592
10,tpillinga@plala.or.jp,92,973
11,zmenceb@bloomberg.com,52,300
12,bdinnegesc@indiatimes.com,3,521
13,nosmundd@virginia.edu,41,770
14,mcarberrye@nydailynews.com,21,107
15,romahonyf@flickr.com,39,107
16,eturleyg@about.com,29,400
17,ashilvockh@goo.gl,72,899
18,sdoigei@ycombinator.com,64,310
19,tpickaverj@ebay.co.uk,90,218
20,hsambellsk@wunderground.com,100,568
21,amccaghanl@networkadvertising.org,65,436
22,gturtlem@delicious.com,22,31
23,fmaughann@1688.com,57,182
24,sdibdaleo@xrea.com,90,693
25,hglovesp@domainmarket.com,76,636
26,cabbateq@xing.com,81,120
27,eblizardr@newyorker.com,81,325
28,cdeatht@youtube.com,40,775
29,tbjerkanu@cnbc.com,18,656
30,klambswoodv@foxnews.com,40,800
31,jnelthroppw@cdc.gov,97,493
